teks_bersih,kategori,instansi,urgensi
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
