teks_bersih,kategori,urgensi,instansi
dengan hormat limbah kimia ngalir ke sawah tanaman warga pada mati semua udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mas pasar tradisional sampahnya numpuk bau amis kemana mana,kebersihan,urgen,Dinas Lingkungan Hidup
bu dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa tolong perhatiannya,kesehatan,urgen,Dinas Kesehatan
nomor telepon kantor kecamatan susah dihubungi,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
begal sering beroperasi di jalan alternatif desa ga ada patroli,keamanan,urgen,Satuan Polisi Pamong Praja
halo selamat siang penduduk banyak sesak napas akibat polusi pabrik terdekat mohon perhatiannya,kesehatan,sangat_urgen,Dinas Kesehatan
mohon ruang tunggu puskesmas sempit dan panas ga ada kipas angin warga resah ini,kesehatan,biasa,Dinas Kesehatan
mau lapor nih ibu hamil mau melahirkan ga ada bidan desanya tidak hadir,kesehatan,sangat_urgen,Dinas Kesehatan
surat keterangan domisili dipersulit minta syarat yang tidak masuk akal kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: pkl di trotoar bikin macet dan ganggu lalu lintas harap segera ada tindakan,keamanan,biasa,Satuan Polisi Pamong Praja
selamat pagi mau lapor terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang tenaga kesehatan di desa kami mengundurkan diri nggak ada penggantinya tolong cepet ditangani,kesehatan,urgen,Dinas Kesehatan
got besar penuh sampah plastik banjir kalo ujan warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
ada oknum yang sering mengintai rumah warga di malam hari mencurigakan harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
mohon kartu indonesia pintar anak saya tidak cair padahal memenuhi syarat,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor sampah medis bekas jarum suntik berserakan di taman bermain anak udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih drainase mampet banjir tiap hujan deras harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
permisi mau lapor air sumur warga berubah warna bau kimia diduga tercemar pabrik kami tunggu tindakannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
dengan hormat informasi syarat urus ktp di website ga update kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mbak saluran air besar jebol banjir rendam puluhan rumah warga kapan ada solusinya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
minta tolong got depan rumah mampet banjir kecil tiap hujan mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda knalpot brong di jalanan bikin bising ganggu ketenangan warga tolong cepet ditangani,keamanan,biasa,Satuan Polisi Pamong Praja
tiang listrik mau roboh nempel ke pohon rawan banget kena angin tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada keluhan nih kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong got saluran air di perumahan kami mampet udah sebulan kapan ada solusinya,infrastruktur,urgen,Dinas Pekerjaan Umum
dengan hormat wabah campak menyebar di sekolah dasar puluhan anak kena tolong diperhatikan,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong ada kelompok yang sering bikin keributan di malam hari ganggu warga kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
dengan hormat saluran air kecil di gang agak tersumbat daun tolong perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon perampok bersenjata masuk ke rumah warga tadi malam harap segera ada tindakan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada keluhan nih puskesmas kami tidak punya alat usg padahal bejibun ibu hamil harap buru buru ada tindakan,kesehatan,urgen,Dinas Kesehatan
halo pemda klinik desa ga ada dokter tetap cuma ada perawat minta tolong banget,kesehatan,urgen,Dinas Kesehatan
jam pelayanan di kantor desa terlalu singkat tutup terlalu cepat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mbak premanisme di pasar makin merajalela pedagang resah,keamanan,urgen,Satuan Polisi Pamong Praja
laporan: limbah kimia ngalir ke sawah tanaman warga pada mati semua,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor air pdam berasa aneh bau ga layak minum penduduk takut konsumsi mohon ditindak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: penerangan jalan umum di jalan protokol banyak yang mati tolong diperhatikan,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih ikan ikan di sungai mati massal diduga kena limbah pabrik minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
minta tolong cat zebra cross di perempatan udah pudar mohon perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih ada pembunuhan di kampung kami semalam pelaku masih berkeliaran masyarakat takut kapan diselesaikan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mbak taman bermain anak kotor bejibun sampah plastik kami sangat terganggu,kebersihan,biasa,Dinas Lingkungan Hidup
tolong jalan desa berlubang lubang parah apalagi musim hujan minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
dengan hormat mantep deh pemda udah cepet nanggepin keluhan warga,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar,kesehatan,urgen,Dinas Kesehatan
laporan: acara agustusan di kelurahan seru banget makasih pak rt sdh kami laporkan berkali kali,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
jalan desa berlubang lubang parah apalagi musim hujan,infrastruktur,urgen,Dinas Pekerjaan Umum
maling motor udah masuk ke perumahan kami 3x dalam sebulan ini tolong diperhatikan,keamanan,urgen,Satuan Polisi Pamong Praja
nomor antrian di kantor kecamatan sistemnya masih manual,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
minta tolong got kecil di depan rumah agak mampet sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
drainase gang depan rumah agak bau perlu dikuras,kebersihan,biasa,Dinas Lingkungan Hidup
dengan hormat pos ronda di rt kami sudah rusak perlu diperbaiki kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
sampah medis bekas jarum suntik berserakan di taman bermain anak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo selamat siang tempat sampah di halte bus udah penuh perlu dikosongkan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
mas sungai kecil belakang perumahan penuh sampah bau busuk kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor sampah medis bekas jarum suntik berserakan di taman bermain anak tolong diperhatikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas kapan diselesaikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang pagar pembatas jalan agak miring perlu dibenerin minta perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
bu fasilitas toilet di puskesmas kurang bersih,kesehatan,biasa,Dinas Kesehatan
dengan hormat terimakasih pemda sudah perhatikan warga kecil seperti kami sudah kami laporkan berkali kali,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mbak pasien kritis ditolak igd rs daerah katanya penuh padahal darurat,kesehatan,sangat_urgen,Dinas Kesehatan
penipuan berkedok arisan online makan banyak korban di kelurahan kami kapan diselesaikan,keamanan,urgen,Satuan Polisi Pamong Praja
ada orang gila mengamuk bawa parang ancam warga sekitar udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih peredaran narkoba terang terangan di dekat sekolah anak anak terancam kami tunggu tindakannya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu penerangan di lorong puskesmas kurang terang kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
mbak ruang tunggu puskesmas sempit dan panas ga ada kipas angin,kesehatan,biasa,Dinas Kesehatan
tolong ada pungutan liar di terminal oleh oknum preman tolong cepet ditangani,keamanan,urgen,Satuan Polisi Pamong Praja
knalpot brong di jalanan bikin bising ganggu ketenangan warga warga resah ini,keamanan,biasa,Satuan Polisi Pamong Praja
petugas kebersihan jarang masuk ke gang kami tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
ada beberapa warga buang sampah sembarangan di pinggir jalan,kebersihan,biasa,Dinas Lingkungan Hidup
selamat pagi mau lapor obat obatan di puskesmas sering kosong pasien disuruh beli sendiri mohon perhatiannya,kesehatan,urgen,Dinas Kesehatan
pak jembatan di desa kami putus total ga bisa dilewati sama sekali kami tunggu tindakannya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih informasi syarat urus ktp di website ga update tolong cepet ditangani,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
dengan hormat asap pabrik hitam pekat setiap hari ganggu warga sekitar warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih air sumur penduduk berubah warna bau kimia diduga tercemar pabrik,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
jalan amblas dalam banget motor aku sampe jatuh tadi malem,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada warung yang buka sampai larut malam berisik,keamanan,biasa,Satuan Polisi Pamong Praja
mau lapor nih lapak pkl menghalangi akses masuk ke gang perumahan tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
jembatan retak parah goyang banget kalo dilewati truk,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor lampu taman di alun alun beberapa yang mati tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
dengan hormat penerangan jalan umum di jalan protokol banyak yang mati,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih sampah plastik banyak berserakan di pinggir kali,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: papan pengumuman di kantor kelurahan jarang diupdate warga resah ini,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda ada kasus meningitis di kampung kami 3 orang udah masuk icu sudah kami laporkan berkali kali,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat kapan ada solusinya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
kasus pencurian di komplek kami makin sering ga ada ronda malam,keamanan,urgen,Satuan Polisi Pamong Praja
dengan hormat pelayanan kelurahan kami sudah membaik lebih cepat dari sebelumnya kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
website kelurahan kami tidak pernah diperbarui informasinya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
dengan hormat pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ikan ikan di sungai mati massal diduga kena limbah pabrik,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon limbah pabrik dibuang ke kali sumber air minum warga pada mual mual kami tunggu tindakannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih got depan pasar tersumbat sampah banjir pas hujan mohon perhatiannya,kebersihan,urgen,Dinas Lingkungan Hidup
pak air sumur warga berubah warna bau kimia diduga tercemar pabrik kami tunggu tindakannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor motor parkir sembarangan di badan jalan ganggu arus lalu lintas warga resah ini,keamanan,biasa,Satuan Polisi Pamong Praja
minta tolong pasien rujukan ditolak rs tanpa alasan yang jelas warga resah ini,kesehatan,urgen,Dinas Kesehatan
dengan hormat selokan penuh sampah plastik air meluap ke jalan mohon ditindak,kebersihan,urgen,Dinas Lingkungan Hidup
loket pendaftaran puskesmas prosesnya lama banget,kesehatan,biasa,Dinas Kesehatan
puskesmas pembantu tutup ga ada tenaga kesehatan sama sekali,kesehatan,urgen,Dinas Kesehatan
dengan hormat mesin fotokopi di kantor kelurahan sering rusak warga resah ini,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: jalan di komplek ada yang berlubang kecil,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih ibu hamil mau melahirkan ga ada bidan desanya tidak hadir kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
dengan hormat ibu hamil di desa kami susah akses bidan jaraknya jauh banget minta tolong banget,kesehatan,urgen,Dinas Kesehatan
dengan hormat halo pak bupati semoga sehat selalu dan sukses terus sudah kami laporkan berkali kali,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
urus izin usaha kecil dipersulit minta biaya yang ga jelas kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bu jalan provinsi ambrol kena longsor akses kota putus total segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo pemda program beasiswa dari pemda sangat membantu anak kami terima kasih sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd kapan diselesaikan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
halte bus atapnya bocor ujan masuk harap buru buru ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda terimakasih pemda sudah perhatikan warga kecil seperti kami udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mas pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar tolong cepet ditangani,kesehatan,urgen,Dinas Kesehatan
halo pemda taman bermain anak kotor bejibun sampah plastik kami sangat terganggu,kebersihan,biasa,Dinas Lingkungan Hidup
kepada yth pemda ibu hamil mau melahirkan ga ada bidan desanya tidak hadir kapan ada solusinya,kesehatan,sangat_urgen,Dinas Kesehatan
keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs,kesehatan,sangat_urgen,Dinas Kesehatan
ada pungutan liar di terminal oleh oknum preman,keamanan,urgen,Satuan Polisi Pamong Praja
permisi mau lapor premanisme di pasar makin merajalela pedagang resah,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda acara agustusan di kelurahan seru banget makasih pak rt,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
sistem antrian puskesmas masih manual belum pakai nomor segera ya pak,kesehatan,biasa,Dinas Kesehatan
pasien penyakit jantung ga bisa dirujuk karena ga ada ambulans,kesehatan,sangat_urgen,Dinas Kesehatan
permisi mau lapor premanisme di pasar makin merajalela pedagang resah kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada keluhan nih ada oknum yang sering mengintai rumah warga di malam hari mencurigakan tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
halo selamat siang lingkungan kami sekarang udah bersih makasih petugas kebersihan terima kasih sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pos ronda di rt kami sudah rusak perlu diperbaiki,infrastruktur,biasa,Dinas Pekerjaan Umum
wabah campak menyebar di sekolah dasar puluhan anak kena,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman tolong dong,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
jembatan di desa kami putus total ga bisa dilewati sama sekali kami tunggu tindakannya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
jalan amblas dalam banget motor aku sampe jatuh tadi malem kapan ada solusinya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo pemda drainase kecil di gang agak kotor perlu dibersihkan sdh kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
dengan hormat keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
mas tidak ada wifi di ruang tunggu puskesmas kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
mbak ada warga yang pelihara ayam di pemukiman padat bau dan berisik,keamanan,biasa,Satuan Polisi Pamong Praja
pak trotoar di jalan retak retak kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
pak wabah dbd menyebar cepet udah 5 orang di rt kami positif udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
got meluap banjir masuk rumah warga udah setinggi lutut,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
permisi mau lapor akta kelahiran anak susah banget diurusnya syaratnya berbelit belit,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ruang tunggu puskesmas sempit dan panas ga ada kipas angin,kesehatan,biasa,Dinas Kesehatan
tolong ada kasus meningitis di kampung kami 3 orang udah masuk icu,kesehatan,sangat_urgen,Dinas Kesehatan
makasih ya udah benerin jalan di depan rumah kami tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang parkir liar di depan toko halangi pejalan kaki minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
permisi mau lapor pak camat kami orangnya ramah dan cepat tanggap tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih saluran air kecil di gang agak tersumbat daun sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
pak jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana warga resah ini,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
sungai butek item bau masyarakat buanyak yang kena penyakit kulit udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
wabah diare menyebar di desa kami udah 20 orang kena termasuk balita,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong pohon besar tumbang nutupin jalan utama total ga bisa dilewati,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada keluhan nih lampu merah di perempatan rusak rawan kecelakaan cepat ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
dengan hormat tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas kapan diselesaikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo selamat siang gorong gorong jebol jalan ambles dalam banget berbahaya bgt segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mas ibu hamil di desa kami susah akses bidan jaraknya jauh banget minta tolong banget,kesehatan,urgen,Dinas Kesehatan
trotoar di jalan retak retak,infrastruktur,biasa,Dinas Pekerjaan Umum
trotoar depan pasar rusak parah orang sering kesandung,infrastruktur,urgen,Dinas Pekerjaan Umum
minta tolong sktm buat daftar sekolah ga bisa didapat harus menyogok dulu tolong dong,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bu balita di desa kami banyak yang kena gizi buruk butuh intervensi segera,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: tembok penahan tanah jebol longsor ancam rumah masyarakat di bawah tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
minta tolong pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
pengaduan: warga banyak sesak napas akibat polusi pabrik terdekat kapan ada solusinya,kesehatan,sangat_urgen,Dinas Kesehatan
dengan hormat pohon besar tumbang nutupin jalan utama total ga bisa dilewati udah kami laporkan berkali kali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
perjudian ilegal beroperasi terang terangan di garasi rumah warga,keamanan,urgen,Satuan Polisi Pamong Praja
sampah plastik bejibun berserakan di pinggir kali tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
ruang tunggu puskesmas sempit dan panas ga ada kipas angin segera ya pak,kesehatan,biasa,Dinas Kesehatan
perampok bersenjata masuk ke rumah warga tadi malam segera ya pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
taman bermain anak kotor banyak sampah plastik,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih bayi gizi buruk parah di desa kami butuh bantuan cepat terima kasih seblmnya,kesehatan,sangat_urgen,Dinas Kesehatan
mbak asap pabrik hitam pekat setiap hari ganggu warga sekitar,kebersihan,urgen,Dinas Lingkungan Hidup
bu antrian puskesmas ga teratur pasien lansia berdiri berjam jam,kesehatan,urgen,Dinas Kesehatan
ada keluhan nih premanisme di pasar makin merajalela pedagang resah harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
mas puskesmas pembantu tutup ga ada tenaga kesehatan sama sekali harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
permisi mau lapor banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat terima kasih semasih belumnya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: jalan berlubang gede di depan sekolah udah ada yang jatuh sudah kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: gorong gorong di bawah jalan tersumbat air meluap ke jalan,infrastruktur,urgen,Dinas Pekerjaan Umum
bu plang nama gang kami copot perlu dipasang lagi minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor lingkungan rt kurang bersih perlu kerja bakti tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
mohon klinik desa ga ada dokter tetap cuma ada perawat kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
tolong fasilitas toilet di puskesmas kurang bersih sudah kami laporkan berkali kali,kesehatan,biasa,Dinas Kesehatan
halo pemda pompa air irigasi rusak sawah warga kekeringan mohon ditindak,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih jalan kampung kami belum diaspal becek banget kalo ujan,infrastruktur,urgen,Dinas Pekerjaan Umum
ktp saya udah 5 bulan belum jadi padahal semua syarat udah lengkap,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih acara agustusan di kelurahan seru banget makasih pak rt mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mohon cat marka jalan udah pudar ga keliatan kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
klinik desa ga ada dokter tetap cuma ada perawat,kesehatan,urgen,Dinas Kesehatan
pengaduan: gorong gorong jebol jalan ambles dalam banget berbahaya bgt segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada warga yang buang sampah di lahan kosong depan rumah kami,kebersihan,biasa,Dinas Lingkungan Hidup
kartu indonesia pintar anak saya ga cair padahal memenuhi syarat mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda pemda tanggap banget waktu kami laporan langsung direspon,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong puskesmas keliling sdh lama tidak beroperasi ke desa kami kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
kartu indonesia pintar anak saya tidak cair padahal memenuhi syarat,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih pompa air irigasi rusak sawah warga kekeringan tolong cepet ditangani,infrastruktur,urgen,Dinas Pekerjaan Umum
penerangan jalan umum di jalan protokol banyak yang mati sdh kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
senang lihat kota kami makin rapi dan bersih warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong saluran air besar jebol banjir rendam puluhan rumah warga terima kasih sebelumnya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pengumuman kegiatan kelurahan sering terlambat disampaikan ke masyarakat terima kasih sebelumnya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
dengan hormat lampu merah di perempatan rusak rawan kecelakaan terima kasih sebelumnya,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: tempat sampah di depan kantor kelurahan jarang dikosongkan kapan ada solusinya,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih dana desa ga transparan warga ga tau dipake untuk apa aja harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
petugas kebersihan jarang masuk ke gang kami,kebersihan,biasa,Dinas Lingkungan Hidup
lampu penerangan di jembatan mati gelap berbahaya malam hari mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
mbak paving block di trotoar ada beberapa yang copot harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda lampu di taman kota mati beberapa titik,infrastruktur,biasa,Dinas Pekerjaan Umum
tempat pembuangan sampah sementara kelebihan kapasitas meluap,kebersihan,urgen,Dinas Lingkungan Hidup
penerangan di lorong puskesmas kurang terang terima kasih sebelumnya,kesehatan,biasa,Dinas Kesehatan
sungai butek item bau warga banyak yang kena penyakit kulit,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: drainase mampet banjir tiap hujan deras,infrastruktur,urgen,Dinas Pekerjaan Umum
obat obatan di puskesmas sering kosong pasien disuruh beli sendiri,kesehatan,urgen,Dinas Kesehatan
permohonan keringanan pajak sudah diajukan 3 bulan tidak ada respons mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
lampu merah di perempatan rusak rawan kecelakaan,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih data kependudukan saya masih salah di sistem setelah berkali kali lapor kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
terimakasih sudah pasang lampu jalan di gang kami tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong penerangan jalan minim banget malem gelap gulita rawan kejahatan kami tunggu tindakannya,keamanan,urgen,Satuan Polisi Pamong Praja
mau lapor nih jam buka puskesmas sering ga sesuai jadwal mohon ditindak,kesehatan,biasa,Dinas Kesehatan
konflik warga udah berlangsung lama belum ada penyelesaian dari aparat,keamanan,urgen,Satuan Polisi Pamong Praja
lampu di taman kota mati beberapa titik,infrastruktur,biasa,Dinas Pekerjaan Umum
ada penembakan di daerah kami warga panik ga berani keluar rumah kami sangat terganggu,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
parkir di kantor kecamatan tidak tertata dengan baik udah lama nih,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih papan nama jalan udah pudar susah dibaca mohon ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kk kami salah data nama anak ketuker udah lapor berkali kali ga diperbaiki,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong lampu di taman kota mati beberapa titik terima kasih semasih belumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
saluran irigasi sawah bocor petani rugi terus mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong pengumuman kegiatan kelurahan sering terlambat disampaikan ke warga sdh kami laporkan berkali kali,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
cat jembatan udah kusam perlu dicat ulang,infrastruktur,biasa,Dinas Pekerjaan Umum
